V080101a,V082425,V083037a,V083037b,V083069,V083105,V083108x,V083112,V083113,V083114a,V083114b,V083115,V083115a,V083116,V083117,V083117a,V083118,V083118a,partyID,ideology,FTobama,FTmccain,servicespending,servicespending2,servicespendingFULL,DEMmuchlessspend,DEMmorespend,DEMmuchmorespend,REPmuchlessspend,REPlessspend,REPmorespend,REPmuchmorespend,DEMlessspend
175097.07,2. Republican Presidential cand is 1st (defense spending),25,60,4. Moderate; middle of the road,1. Govt should provide many fewer services,"-1. INAP, R selected for VERSION OLD",7. Govt should increase defense spending,5. Extremely important,1. Govt should decrease defense spending,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,25,60,1,,1,1,0,0,0,1,0,0,0
189641.53,1. Democratic Presidential cand is 1st (defense spending),0,70,6. Conservative,5,"-1. INAP, R selected for VERSION OLD",5,3. Somewhat important,1. Govt should decrease defense spending,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.8333333,0,70,5,,5,1,0,0,0,0,0,0,0
215131.5,2. Republican Presidential cand is 1st (defense spending),30,60,6. Conservative,5,"-1. INAP, R selected for VERSION OLD",5,4. Very important,2,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,30,60,5,,5,0,0,0,0,0,0,0,1
189641.53,2. Republican Presidential cand is 1st (defense spending),55,70,4. Moderate; middle of the road,4,"-1. INAP, R selected for VERSION OLD",4,4. Very important,4,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,55,70,4,,4,0,0,0,0,0,1,0,0
256749.25,2. Republican Presidential cand is 1st (defense spending),30,70,6. Conservative,3,"-1. INAP, R selected for VERSION OLD",5,3. Somewhat important,3,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,30,70,3,,3,0,0,0,0,0,0,0,1
208970.05,2. Republican Presidential cand is 1st (defense spending),0,85,6. Conservative,3,"-1. INAP, R selected for VERSION OLD",6,4. Very important,2,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,0,85,3,,3,1,0,0,0,1,0,0,0
212110.97,1. Democratic Presidential cand is 1st (defense spending),15,70,-7. Haven't thought much about it,4,"-1. INAP, R selected for VERSION OLD",5,4. Very important,3,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,15,70,4,,4,0,0,0,0,0,1,0,1
183772.3,2. Republican Presidential cand is 1st (defense spending),30,70,6. Conservative,"-1. INAP, R selected for VERSION NEW",5. Slightly fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,1. A lot,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.8333333,30,70,,3,3,,,,,,,,
203906.71,2. Republican Presidential cand is 1st (defense spending),40,85,6. Conservative,"-1. INAP, R selected for VERSION NEW",6. Somewhat fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,3. Less,3. Somewhat,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,40,85,,2,2,,,,,,,,
55733.93,1. Democratic Presidential cand is 1st (defense spending),100,50,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,1. A lot,0,0.5,100,50,,4,4,,,,,,,,
208970.05,2. Republican Presidential cand is 1st (defense spending),30,85,6. Conservative,3,"-1. INAP, R selected for VERSION OLD",3,4. Very important,2,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.8333333,30,85,3,,3,0,0,0,0,0,1,0,1
189641.53,2. Republican Presidential cand is 1st (defense spending),0,85,4. Moderate; middle of the road,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,1. Govt should decrease defense spending,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.5,0,85,7,,7,0,0,0,0,0,1,0,1
180689.23,1. Democratic Presidential cand is 1st (defense spending),15,60,4. Moderate; middle of the road,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",4,4. Very important,3,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.5,15,60,7,,7,0,0,0,0,0,1,0,1
